// Note : ลฐ(ID)ฟอ ณปฟ๋ภบ นตๅฝร ลวภธทฮ ฑธบะตวพ๎พ฿ วีดฯดู.
//
IN_000_000	Sword
ID_001_097	
IN_000_001	Novice Wooden Sword
ID_001_220	
IN_000_002	Wooden Sword
ID_001_221	
IN_000_003	Japanese Sword
ID_001_222	
IN_000_004	Jasper Sword
ID_001_223	
IN_000_005	Bamboo Leaves Sword
ID_001_224	
IN_000_006	Fine Steel Sword
ID_001_225	
IN_000_007	Warrior Long Sword
ID_001_226	
IN_000_008	Damascus Long Sword
ID_001_227	
IN_000_009	Sharp-Edge Sword
ID_001_228	
IN_000_010	Catling Sword
ID_004_009	
IN_000_011	Machinery Board Sword
ID_065_110	
IN_000_012	Hard Extravagant Board Sword
ID_065_111	
IN_000_013	Lava Extra Vagant Sword
ID_065_112	
IN_000_014	White Dragon Sword
ID_065_113	
IN_000_015	Solar Sword
ID_065_114	
IN_000_016	สุดยอดกระบี่
ID_065_115	
IN_000_017	ChuWang Sword
ID_065_116	
IN_000_018	Ju Que Sword
ID_065_117	
IN_000_019	TianWu Sword
ID_065_125	
IN_000_020	Double Machinery Sword
ID_065_126	
IN_000_021	ChuLong Sword
ID_065_127	
IN_001_000	Event Item
ID_065_128	
IN_001_001	Double BaGua Dagger
ID_065_129	
IN_001_002	God And Devil Ring
ID_065_130	
IN_001_003	Iron Strikes Fist
ID_065_131	
IN_001_004	Wooden Protection Bow
ID_065_132	
IN_001_005	Double Machinery Swords
ID_065_133	
IN_001_006	Deadly Seven
ID_065_134	
IN_001_007	Wooden Protection Bow
ID_065_135	
IN_001_008	Real Gold Spear
ID_065_136	
IN_001_009	Shadow Staff
ID_065_137	
IN_001_010	PiLong Dagger
ID_065_138	
IN_001_011	QingWu Fist
ID_065_139	
IN_001_012	TianChui Bow
ID_065_140	
IN_001_013	BaiYou Sword
ID_065_141	
IN_001_014	Tough Gauntlet
ID_065_142	
IN_001_015	TianWu Bow
ID_077_025	
IN_001_016	YueHuan Spear
ID_077_052	
IN_001_017	Queen Shadow Staff
ID_077_055	
IN_001_018	Rice Dumpling
ID_077_057	
IN_001_019	Realgar
ID_077_059	
IN_001_020	Fragrance Sachet Box
ID_077_063	
IN_001_021	Fragrance Sachet
ID_077_065	
IN_001_022	ชิ้นส่วนเหรียญตราตำรวจ
ID_077_067	
IN_001_023	เหรียญตราตำรวจ
ID_077_068	
IN_001_024	กล่องของขวัญจากกรมตำรวจ
ID_077_074	
IN_001_025	Temp
ID_077_075	
IN_001_026	Temp
ID_077_076	
IN_001_027	ไก่ผัดกระเพราะ (แบบกล่อง)
ID_077_084	
IN_001_028	ไก่ผัดกระเพรา
ID_077_085	
IN_001_029	ไก่ชุดแป้งทอด (แบบกล่อง)
ID_077_086	
IN_001_030	ไก่ชุบแป้งทอด
ID_077_087	
IN_001_031	ไก่ผัดน้ำมันหอย (แบบกล่อง)
ID_077_088	
IN_001_032	ไก่ผัดน้ำมันหอย
ID_077_089	
IN_001_033	Blank
ID_077_090	
IN_001_034	Blank (ชาย)
ID_077_091	
IN_001_035	Blank (ชาย)
ID_077_092	
IN_001_036	Blank (ชาย)
ID_077_093	
IN_001_037	Blank (ชาย)
ID_077_094	
IN_001_038	Blank (หญิง)
ID_077_095	
IN_001_039	Blank (หญิง)
ID_077_290	
IN_001_040	Blank (หญิง)
ID_077_291	
IN_001_041	Blank (หญิง)
ID_077_292	
IN_001_042	Blank (หญิง)
ID_077_293	
IN_001_043	กล่องของขวัญชุดพเนจร  (ชาย)
ID_077_294	
IN_001_044	เสื้อพเนจร  (ชาย)
ID_077_295	
IN_001_045	กางเกงพเนจร  (ชาย)
ID_077_296	
IN_001_046	รองเท้าพเนจร  (ชาย)
ID_077_297	
IN_001_047	ถุงมือพเนจร  (ชาย)
ID_077_298	
IN_001_048	กล่องของขวัญปีกปีศาจ  (หญิง)
ID_077_299	
IN_001_049	เสื้อปีกปีศาจ  (หญิง)
ID_077_300	
IN_001_050	กางเกงปีกปีศาจ  (หญิง)
ID_077_301	
IN_001_051	รองเท้าปีกปีศาจ  (หญิง)
ID_077_302	
IN_001_052	ถุงมือปีกปีศาจ  (หญิง)
ID_077_303	
IN_001_053	ซองจดหมายปีศาจ
ID_077_304	
IN_001_054	ซองจดหมายเทพ
ID_077_305	
IN_001_055	ช็อคโกแลต
ID_077_306	
IN_001_056	กล่องชุดเจ้าบ่าว  (ชาย)  (3 วัน)
ID_077_307	
IN_001_057	กล่องชุดเจ้าสาว  (หญิง)  (3 วัน)
ID_077_308	
IN_001_058	กล่องของขวัญนกมงคล
ID_077_309	
IN_001_059	ผ้าคาดตานินจา (15 วัน)
ID_077_324	
IN_001_060	ดาบลายเสือ
ID_077_325	
IN_001_061	ดาบขาวเวทย์
ID_077_326	
IN_001_062	หมัดลายเสือ
ID_077_327	
IN_001_063	ถุงมืออัญมนีเวทย์
ID_077_328	
IN_001_064	ธนูลายเสือ
ID_077_329	
IN_001_065	คันธนูฟ้าฟาด
ID_077_333	
IN_001_066	กล่องของขวัญประเภทหมวกเนื่องในวันชาติ
ID_077_335	
IN_001_067	หมวกเบสบอลเนื่องในวันชาติ  (สีแดง)
ID_077_336	
IN_001_068	หมวกเบสบอลเนื่องในวันชาติ  (สีนํ้าเงิน)
ID_077_337	
IN_001_069	หมวกเบสบอลเนื่องในวันชาติ  (สีเหลือง)
ID_1001_033	
IN_001_070	หมวกคาวบอยเนื่องในวันชาติ  (สีแดง)
ID_1001_034	
IN_001_071	หมวกคาวบอยเนื่องในวันชาติ  (สีกาแฟ)
ID_1001_035	
IN_001_072	หมวกคาวบอยเนื่องในวันชาติ  (สีขาว)
ID_1001_039	
IN_001_073	หมวกเนื่องในวันชาติ  (ลายดอก)
ID_1001_040	
IN_001_074	หมวกเนื่องในวันชาติ  (สีกาแฟ)
ID_1001_041	
IN_001_075	หมวกเนื่องในวันชาติ  (สีสัน)
ID_1001_043	
IN_001_076	วิกสีน้ำตาล
ID_1001_044	
IN_001_077	วิกสีเหลือง
ID_1001_045	
IN_001_078	วิกสีแดง
ID_1001_046	
IN_001_079	ไก่ม้วน Spicy
ID_1001_047	
IN_001_080	ลูกชิ้นกุ้งมังกร
ID_1002_181	
IN_001_081	ลูกชิ้นปลาหมึกทอด
ID_1002_183	
IN_001_082	ไก่ม้วน Spicy ของร้านไหลอาฟู้
ID_1002_185	
IN_001_083	ดอกเหมย
ID_1003_829	
IN_001_084	ลูกชิ้นกุ้งมังกรของร้านไหลอาฟู้
ID_1003_833	
IN_001_085	ลูกชิ้นปลาหมึกทอดของร้านไหลอาฟู้
ID_1003_839	
IN_001_086	ยันต์คุ้มครอง
ID_1003_840	
IN_001_087	สร้อยคอคุ้มครอง
ID_1003_841	
IN_001_088	กล่องของขวัญประเภทสร้อยคอคุ้มครอง
ID_1003_842	
